Country,SpringRankUnadjusted,CountUnadjusted,SpringRankAdjusted,CountAdjusted,AverageUnadjusted,AverageAdjusted,VarianceUnadjusted,VarianceAdjusted
AD,1.536535585,1,13.828820265,9,1.536535585,1.536535585,0.0,0.0
AE,-14.285914104,60,-508.6207673879999,2693,-0.2380985684,-0.18886771904493127,9.595560909662968,4.378902058026428
AF,-9.430311878999998,23,-86.335776993,249,-0.41001355995652167,-0.34673002808433734,12.864879178454148,5.373406725531726
AG,0.020676543,1,0.144735801,7,0.020676543,0.020676543,0.0,0.0
AL,-1.2733876809999984,28,133.97264351400005,463,-0.04547813146428566,0.28935776136933056,32.90928486815438,13.714317298383735
AM,1.2751832589999992,25,563.825821251,1070,0.051007330359999964,0.5269400198607477,24.95868898453971,12.096987561895677
AO,-1.608146558,6,-5.732383798,21,-0.26802442633333334,-0.272970657047619,2.8222028655073244,3.2728733458718984
AQ,0.0,0,0.0,0,0.0,0.0,0.0,0.0
AR,54.98160599300005,176,5811.204100582005,7398,0.3123954885965912,0.7855101514709387,35.48139535956091,18.584870583437812
AS,0.0,0,0.0,0,0.0,0.0,0.0,0.0
AT,-7.419190493999999,182,6974.3296700549945,11297,-0.04076478293406593,0.6173612171421612,16.931920837989857,9.832069507938218
AU,-4.0062769939999665,364,45088.97280000501,70903,-0.011006255478021885,0.6359247535365924,23.18349912855792,5.742801929285326
AW,-0.329952421,1,-0.329952421,1,-0.329952421,-0.329952421,0.0,0.0
AX,0.0,0,0.0,0,0.0,0.0,0.0,0.0
AZ,-10.408670621,40,-175.47157856299995,1145,-0.260216765525,-0.15325028695458512,28.951648035225748,10.302540850667137
BA,1.6973644490000006,24,70.07423107000001,515,0.07072351870833336,0.1360664680970874,26.106023386198565,5.303165007323154
BB,0.722882712,1,4.337296272,6,0.722882712,0.722882712,0.0,0.0
BD,-61.244263833999995,139,-2963.7578296419993,10570,-0.44060621463309346,-0.2803933613663197,25.64033973336808,6.330579985168485
BE,14.330951082000004,168,12885.551960701994,16100,0.08530328025000003,0.800344842279627,26.391937151487838,7.682975085175646
BF,-3.3444197659999997,11,-9.283544408000001,112,-0.3040381605454545,-0.08288878935714286,17.173512670322022,13.85101726489838
BG,29.202673116999986,80,1818.3546990490006,2696,0.36503341396249983,0.6744639091428044,32.12082476057978,13.611226245567192
BH,-5.012505181,13,-73.211129375,225,-0.3855773216153846,-0.32538279722222224,3.720750953501464,2.433421426445884
BI,-1.856809286,5,91.85379646899999,137,-0.37136185720000003,0.6704656676569343,46.499092537309124,16.603553287128797
BJ,-0.959764633,6,3.920195950000001,78,-0.15996077216666668,0.05025892243589745,15.936847679343677,8.502692337968513
BM,-0.403803888,2,-2.5337535630000003,17,-0.201901944,-0.14904432723529415,0.3588644848279402,0.07947171982348848
BN,1.9026010070000001,3,15.157518031,202,0.6342003356666667,0.07503721797524752,84.9019459926885,1.8879227471941753
BO,-1.9438642729999995,17,36.61980319099999,289,-0.11434495723529409,0.12671212176816604,14.412505595079015,3.911466169074468
BQ,0.0,0,0.0,0,0.0,0.0,0.0,0.0
BR,-34.43278737700025,633,32558.3246791771,58248,-0.054396188589257904,0.5589603879820269,22.5817325569587,17.11398480594661
BS,-1.146313429,4,-1.629109862,6,-0.28657835725,-0.27151831033333335,0.31579569127511903,0.259560976476157
BT,-0.189404374,4,3.158291006,10,-0.0473510935,0.31582910059999997,13.783531639139651,14.30673621475677
BW,-3.008138756,13,-70.67153257400003,363,-0.23139528892307692,-0.19468741755922872,12.983614876533716,1.039267022704522
BY,28.999548932,39,829.6272622040001,825,0.7435781777435897,1.0056088026715153,49.58149769098258,16.24732038218159
BZ,-0.6473901200000001,3,-3.5822215680000005,15,-0.2157967066666667,-0.23881477120000003,0.4676904282704161,0.3600889511913543
CA,-48.566003905000194,620,44297.39236500511,73971,-0.07833226436290354,0.5988480940504401,22.773191451904466,7.749851915209729
CD,-11.132810901000001,24,-52.553142435999995,198,-0.46386712087500004,-0.26541991129292924,11.937398813695175,7.66085260551687
CF,-0.613732989,1,-3.682397934,6,-0.613732989,-0.613732989,0.0,0.0
CG,-0.148360681,1,-1.038524767,7,-0.148360681,-0.148360681,0.0,0.0
CH,0.9382673120000125,269,14770.224568743015,23461,0.0034879825724907524,0.6295650044219349,23.887358908635075,9.398283303396815
CI,-4.262457607,13,12.286515507,153,-0.3278813543846154,0.08030402292156863,22.144859536777563,15.534935705433435
CK,0.0,0,0.0,0,0.0,0.0,0.0,0.0
CL,-15.821456887000004,95,1878.710928541999,6480,-0.1665416514421053,0.28992452600956775,17.990703301103448,11.046967079398446
CM,3.468741136000002,35,4.999929261000004,615,0.09910688960000005,0.008129966278048786,41.56369183464971,13.441606507588103
CN,-336.3517434870001,1554,60412.48160044301,149208,-0.21644256337644793,0.4048876843094406,28.21650202609995,18.042971294840495
CO,-57.930088093000016,199,882.6980427059992,8880,-0.291105970316583,0.09940293273716208,16.026576255507706,10.23412009789458
CR,2.327234180999998,38,106.57367848,882,0.06124300476315784,0.12083183501133786,25.628549632518624,10.077656040200008
CU,18.932774462999994,45,820.5583361099998,1009,0.4207283213999999,0.8132391834588699,28.584969801284824,13.49944928289257
CV,-0.8168163199999999,4,-1.392433753,16,-0.20420407999999998,-0.0870271095625,4.937977713404308,3.8657492984411124
CW,0.871720258,2,4.33779079,6,0.435860129,0.7229651316666666,18.546588575151,10.303660319528333
CY,-6.375309190999998,45,287.82690892299985,2242,-0.14167353757777773,0.1283795311877787,34.230007712108126,3.9840704555973523
CZ,-7.746324930999995,147,3708.3307790130025,7014,-0.05269608796598636,0.5287041315958088,27.482024410629034,13.650655770361118
DE,103.86734732699992,805,41970.345536626926,58749,0.1290277606546583,0.7144010202152705,29.084139006053817,8.679324445665854
DJ,-1.13434319,2,-4.09298254,6,-0.567171595,-0.6821637566666667,11.900877520295522,10.578557795818243
DK,-16.667509753999994,164,10334.49974676801,19512,-0.10163115703658533,0.5296484085059455,20.6666202665278,6.045662777349149
DM,0.951946017,1,0.951946017,1,0.951946017,0.951946017,0.0,0.0
DO,-3.2266656539999996,27,50.47445990000003,318,-0.11950613533333332,0.15872471666666677,13.859434311655392,12.552644244757294
DZ,-0.5364428669999981,79,161.16650911600004,801,-0.0067904160379746595,0.20120662810986273,39.993866585831626,22.515856170860125
EC,-3.876350066000006,73,192.88443322800003,2453,-0.05310068583561652,0.07863205594292705,7.739029292428654,11.113416499962257
EE,-2.8142461499999984,41,1057.7017210089998,2039,-0.06864014999999996,0.5187355179053457,25.17111697103536,5.987401074635874
EG,-27.815082721000003,119,555.0552442289998,7983,-0.23374019093277312,0.06952965604772639,27.471065776412473,10.48588480582524
EH,0.0,0,0.0,0,0.0,0.0,0.0,0.0
ER,-0.443959058,1,-18.202321378,41,-0.443959058,-0.443959058,0.0,0.0
ES,210.6010599430001,618,73926.6630540761,77303,0.34077841414724935,0.956323338732987,27.002058189699536,8.659951844526088
ET,-21.882278211000003,65,-680.583423899,3786,-0.33665043401538464,-0.1797631864498151,25.9399269173651,9.372590828962505
FI,-1.2239890120000037,152,10539.970140068997,15701,-0.008052559289473708,0.6712929202005603,22.40946653139528,10.234572937483463
FJ,-0.44406595699999996,4,-11.126447656,185,-0.11101648924999999,-0.0601429603027027,0.9791419465136373,0.8549023692168493
FK,-0.070797466,1,-0.070797466,1,-0.070797466,-0.070797466,0.0,0.0
FM,0.586149358,1,0.586149358,1,0.586149358,0.586149358,0.0,0.0
FO,-0.457112449,2,-6.5181476599999995,19,-0.2285562245,-0.3430604031578947,1.637766678814182,0.32664598580227455
FR,600.938833497001,1126,36691.84699775001,39488,0.5336934578126119,0.9291898044405899,42.88086463231968,15.552029694800636
GA,-0.08066746400000002,6,2.798540859,20,-0.013444577333333338,0.13992704295,41.912101596544126,51.00746338251922
GB,144.51771638799937,1234,157848.75056967686,209167,0.1171132223565635,0.7546541785734694,31.218263960193852,6.643162390727436
GD,0.826275704,1,56.186747872000005,68,0.826275704,0.826275704,0.0,0.0
GE,-4.439835343000002,50,333.627060958,1060,-0.08879670686000005,0.31474251033773587,40.270101048088456,16.16894419315995
GF,2.400249391,2,4.413110979,3,1.2001246955,1.471036993,66.05412564305564,58.71477834938279
GH,-22.50155053800001,67,-1132.7803200710002,3656,-0.3358440378805972,-0.3098414442207331,37.458327265560975,4.672889878677399
GI,-0.020631126,1,-0.020631126,1,-0.020631126,-0.020631126,0.0,0.0
GL,2.107517442,4,5.959894658,12,0.5268793605,0.4966578881666666,51.154825280647394,17.09727529638219
GM,0.2970298759999998,5,-1.3033277539999997,49,0.05940597519999996,-0.026598525591836727,15.928365372105198,16.648227464872527
GN,-0.629930717,2,-1.004099207,3,-0.3149653585,-0.3346997356666667,0.3505010779406293,0.31155651372500387
GP,0.6407649799999999,2,7.098166138,10,0.32038248999999996,0.7098166137999999,42.12748243885381,26.96158876086644
GQ,0.0,0,0.0,0,0.0,0.0,0.0,0.0
GR,-5.702048407000017,162,5654.04993581,12820,-0.03519782967283961,0.4410335363346334,32.189554754495454,10.756343039525799
GT,-3.602125345,7,-6.016450262999999,122,-0.514589335,-0.04931516609016393,45.48812896802601,9.774519135367104
GU,0.02725958,1,0.8177873999999999,30,0.02725958,0.02725958,0.0,0.0
GW,-0.368549936,1,-0.737099872,2,-0.368549936,-0.368549936,0.0,0.0
GY,-0.15210868999999996,2,-4.971115397999999,30,-0.07605434499999998,-0.16570384659999998,5.0231457107052515,4.219442396992411
HK,0.6612920480000001,10,3733.173505918,6799,0.06612920480000001,0.5490768504071187,13.56526137846377,3.733478538270346
HN,-3.4708624779999995,12,-17.429078785,58,-0.2892385398333333,-0.300501358362069,22.035844600340642,7.777581342582905
HR,-3.126866141000001,55,928.8997254790003,1622,-0.05685211165454548,0.5726878702090014,24.46057589609296,19.3890655268011
HT,1.9554447830000001,4,8.817875178999998,16,0.48886119575000003,0.5511171986874999,51.80533321973495,31.868796463881264
HU,18.003243980000004,92,3927.8315283249995,4432,0.19568743456521745,0.8862435758856045,22.047163465481102,10.260894805633509
ID,-281.19901104999974,398,-3424.0141785720034,13207,-0.7065301785175873,-0.2592575284752028,30.602866203251406,14.644996727467781
IE,-5.036946453999987,117,7235.182877075993,13122,-0.04305082439316228,0.5513780579999995,23.27255961485222,5.174783315833743
IL,-18.950122860999993,107,5845.736244602994,9776,-0.17710395197196255,0.5979681101271475,14.753341463151596,9.221868617419537
IM,1.599023469,1,1.599023469,1,1.599023469,1.599023469,0.0,0.0
IN,364.795994677002,1502,83433.79003986699,113105,0.2428734984533968,0.7376666817547145,30.887795760136385,17.04940423134003
IQ,-27.821600634,78,-675.682181663,3374,-0.3566871876153846,-0.20026146463040903,16.3325694050128,9.421461703054476
IR,-23.173111204999984,237,11799.453552145995,34512,-0.09777684052742609,0.34189422670798547,21.78699210759082,13.176304846997212
IS,-5.326682700999999,21,76.81380467700001,1043,-0.25365155719047616,0.07364698434995207,16.91227990346746,3.585782498823773
IT,129.3154408520001,433,32727.772608982028,37073,0.29864997887297945,0.8827926687611477,32.81518782082858,11.063190258151918
JE,0.33297771,1,0.66595542,2,0.33297771,0.33297771,0.0,0.0
JM,-1.6064321879999999,8,13.898246377000003,238,-0.20080402349999998,0.05839599318067228,7.1464972681035155,4.661371127616446
JO,-10.339783097,35,-995.9104407709998,4204,-0.2954223742,-0.23689591835656512,10.524302842986204,4.637542152128777
JP,43.4670322569997,1079,51017.505008827786,70657,0.04028455260148258,0.7220445958479385,21.446383523093544,16.53891122761996
KE,-36.464537052999994,93,-526.9990545040001,4266,-0.3920917962688171,-0.1235347056971402,26.958967386054418,9.030089370967397
KG,1.4010512290000003,19,7.120172825000001,110,0.07373953836842106,0.06472884386363638,43.44851593257309,19.075659202569287
KH,-9.725597934,29,-73.89039384499999,225,-0.335365446,-0.3284017504222222,27.58604232805285,14.94046324483724
KI,0.0,0,0.0,0,0.0,0.0,0.0,0.0
KN,0.8636378290000002,4,3.677768953,34,0.21590945725000005,0.1081696750882353,56.451556904835485,24.94995729598835
KP,0.609744697,2,7.926681061,17,0.3048723485,0.46627535652941177,9.294714887990544,6.689621787896309
KR,-132.870726419,531,19916.641465427965,43503,-0.2502273567212806,0.45782225284297556,18.349931305235366,16.411354074058845
KW,-4.273909585999999,14,-170.536789119,676,-0.3052792561428571,-0.25227335668491124,9.342071619714773,1.427785430716213
KY,0.056542844,1,0.28271422,5,0.056542844,0.056542844,0.0,0.0
KZ,-21.484829622999996,87,37.03984000699984,2065,-0.24695206463218386,0.017936968526392174,32.66663966533207,14.465829434930093
LA,-0.505730229,3,-7.5558339430000006,22,-0.168576743,-0.34344699740909096,8.710263910879052,1.6743026789655977
LB,0.6481729319999989,38,300.2603921339998,2531,0.017057182421052603,0.11863310633504535,26.617772822815386,4.398977266506306
LC,-0.149999412,1,-0.149999412,1,-0.149999412,-0.149999412,0.0,0.0
LI,1.2970579109999998,4,11.917428901,26,0.32426447774999995,0.4583626500384615,23.698327096804118,13.180293123183704
LK,-10.529596532,37,-207.114343257,3004,-0.28458369005405404,-0.0689461861707723,15.132323101356178,7.611383756994689
LR,-3.3361333440000003,6,-37.263510068,59,-0.556022224,-0.6315849164067797,6.535610704510206,4.285703582847029
LS,-0.486109688,1,-35.486007224,73,-0.486109688,-0.486109688,0.0,0.0
LT,-12.506372111000001,58,1374.477219369999,4924,-0.21562710536206897,0.27913834674451643,30.965882917597924,9.349674266710643
LU,-0.38658544199999956,15,344.6316014449999,1354,-0.02577236279999997,0.254528509191285,20.59281782084397,3.5559435617063935
LV,-5.352307877000001,43,744.2680854209997,1854,-0.12447227620930236,0.4014390967750807,18.29497364199519,8.716380916699022
LY,-5.4751331809999995,16,-118.261246405,292,-0.34219582381249997,-0.40500426851027393,4.974091402257181,1.251890667102723
MA,-1.3399581639999987,52,307.7544277670002,811,-0.025768426230769206,0.37947525002096205,22.697831507633538,15.98892624836008
MC,-0.21926984500000002,2,-1.6591522660000002,11,-0.10963492250000001,-0.1508320241818182,2.2817927069425563,2.11207258824435
MD,11.006022606999998,18,220.456009268,350,0.6114457003888888,0.6298743121942857,49.49556037800696,14.281131327878644
ME,-0.9897437849999999,5,-12.800044115,147,-0.19794875699999998,-0.08707513003401361,4.155660526678205,3.1085513055504093
MG,5.132670649000001,11,24.277726862,80,0.46660642263636376,0.303471585775,87.88892653259218,22.09615918404363
MK,3.2731031100000005,16,74.30367470499999,299,0.20456894437500003,0.24850727326086955,42.19873518016911,12.831542937446175
ML,-2.13172804,8,-2.9920387139999995,31,-0.266466005,-0.09651737787096773,43.157700018151786,18.116719244294597
MM,-17.292870124,42,-62.055790310000006,240,-0.41173500295238097,-0.2585657929583334,52.373604652088126,23.16309124289768
MO,-0.37041008900000005,4,178.23480162299998,656,-0.09260252225000001,0.27169939271798776,11.415852587907429,5.541592555440442
MP,-0.321579473,1,-1.286317892,4,-0.321579473,-0.321579473,0.0,0.0
MQ,0.0,0,0.0,0,0.0,0.0,0.0,0.0
MR,-0.480855242,1,-3.365986694,7,-0.480855242,-0.480855242,0.0,0.0
MS,-0.456132497,1,-0.456132497,1,-0.456132497,-0.456132497,0.0,0.0
MT,-1.1200011820000002,7,-16.199735499000003,580,-0.16000016885714288,-0.027930578446551727,30.72867862515762,0.6317061137695676
MU,1.5271158289999998,7,23.730998660999997,126,0.21815940414285712,0.18834125921428568,23.186916500566433,5.026979620175089
MV,-0.942885416,3,-6.134652322000001,16,-0.31429513866666664,-0.38341577012500005,2.470047560703628,1.2353195122800409
MW,-3.3673263670000004,13,-90.12375325999999,246,-0.2590251051538462,-0.3663567205691056,41.55744507807206,7.067876641270699
MX,-25.105626758000028,287,3643.454200560008,11292,-0.08747605142160289,0.32265800571732267,36.11033288832624,14.307598242823266
MY,5.379468984,107,8010.579944194998,17026,0.05027541106542056,0.4704910104660518,21.26488190347503,8.694011101678612
MZ,-4.232999901,17,-20.636704661,66,-0.24899999417647062,-0.31267734334848485,8.236930464293852,4.814837110179507
NANA,-1.676342031,6,-94.01782028900001,226,-0.2793903385,-0.4160080543761063,15.087039773763617,1.1790597519069355
NC,0.656992464,3,-0.7686128639999998,14,0.218997488,-0.05490091885714284,38.96355227574029,14.96656692524984
NE,-3.262531945,5,-4.911409595,8,-0.652506389,-0.613926199375,29.24545450607915,31.076988864175224
NG,-86.595761378,198,-2234.2305999430005,17378,-0.4373523301919192,-0.1285666129556336,34.5004623139848,14.09769863087482
NI,1.0217047190000001,18,31.115489615,110,0.056761373277777784,0.2828680874090909,52.00148420348266,31.61358488676201
NL,45.64030814500001,308,26770.09631947096,31299,0.14818281865259744,0.8553019687360924,32.46298842984779,7.592620379620917
NO,-34.39118300499999,169,3208.991873404,10915,-0.20349812428994077,0.29399833929491526,21.186491450842183,12.82812361739645
NP,-3.065908873999998,38,-147.71523497599998,672,-0.08068181247368415,-0.21981433776190473,60.80895658982592,8.771662964175315
NU,0.0,0,0.0,0,0.0,0.0,0.0,0.0
NZ,-0.40315494800000307,67,6798.299386809002,9968,-0.006017238029850792,0.6820123782914328,21.36164186480659,7.509299530086173
OM,-10.740068124,27,-182.850972237,617,-0.3977803008888889,-0.2963548982771475,7.645529643478448,1.1955782946616
PA,-3.397560307000002,27,17.032919353000004,311,-0.12583556692592598,0.05476822943086818,32.2756742232926,11.711751869259844
PE,-26.437244271000008,128,220.12361191200003,3343,-0.20654097086718756,0.06584612979718817,23.158852214928558,9.248754927458947
PF,-0.09149178800000002,2,1.9079849379999998,8,-0.04574589400000001,0.23849811724999997,14.363494743376023,6.284028950227011
PG,-2.4894292580000004,10,-26.747934916000002,94,-0.24894292580000005,-0.284552499106383,6.975808348689976,2.7866689065174586
PH,-4.31076883700001,225,1415.9760974790001,6525,-0.019158972608888936,0.2170078310312644,32.71331473273161,13.22224351767446
PK,-62.84748678700001,224,-554.4364237400007,13144,-0.2805691374419643,-0.042181712092209424,21.14181262770301,13.477441855625411
PL,59.631349038000025,361,14077.38670927502,19943,0.16518379234903055,0.7058810965890298,35.13101526499012,10.190262635122709
PR,-1.5001634729999997,24,144.90214959300005,1187,-0.06250681137499998,0.12207426250463357,24.82972403510929,4.968580038148372
PS,-6.463179615999999,20,-273.42873754900006,899,-0.32315898079999994,-0.30414765022135715,6.528110473364232,2.642235685800624
PT,-22.919370059999984,205,8627.100564265005,16216,-0.11180180517073163,0.5320116282847192,19.46536956566307,8.75987222723703
PW,-0.366521226,1,-0.366521226,1,-0.366521226,-0.366521226,0.0,0.0
PY,6.524067738999999,26,99.13577951399999,223,0.25092568226923073,0.44455506508520176,73.2249223360653,33.48811236347314
QA,-6.677050746,32,-164.3332325419999,1099,-0.2086578358125,-0.14952978393266597,25.037412848531243,5.0437903482909725
RE,0.10934545999999995,2,9.538400883,19,0.054672729999999975,0.5020210991052632,24.997758950225293,4.985702616111414
RO,34.826505595,141,3606.454843473998,5465,0.24699649358156028,0.6599185440940527,35.52221896026275,10.676264253594004
RS,6.0724816369999965,52,1702.3490574510001,2300,0.1167784930192307,0.7401517641091305,37.88776046087343,11.370524859078476
RU,373.01439080499995,639,15090.010648201,17149,0.5837470904616587,0.8799353109919529,50.74098735340218,15.256011032027267
RW,-0.6169402309999995,14,-82.747616058,266,-0.044067159357142824,-0.3110812633759399,37.69149709893086,8.829556476891302
SA,-27.828446741999993,74,-954.9493446970002,6900,-0.376060091108108,-0.13839845575318843,8.968462172640807,8.304582163647346
SB,0.311567156,1,1.55783578,5,0.311567156,0.311567156,0.0,0.0
SC,-0.934474228,2,-1.6334449979999999,3,-0.467237114,-0.5444816659999999,5.3700487323126325,4.773376650944563
SD,-17.632248767,46,-103.15429404100001,1403,-0.38330975580434784,-0.07352408698574485,35.78433395154706,14.265376237456955
SE,-3.1859008280000447,235,15532.682372889001,25911,-0.01355702480000019,0.5994628680054418,29.689991509582804,6.659560325021275
SG,-14.890730846999997,72,5021.347430660998,12223,-0.20681570620833328,0.41081137451206723,15.641951136516237,10.198373047719103
SI,0.3269744679999981,64,1101.7153688759995,1570,0.00510897606249997,0.7017295343159232,19.3542994365877,15.820490525925115
SJ,0.383202227,1,18.776909123,49,0.383202227,0.383202227,0.0,0.0
SK,7.226152303000002,56,1281.9365455199993,1857,0.1290384339821429,0.6903266265589657,24.202289338283755,13.954374343257236
SL,-0.449091184,3,-21.702731426,61,-0.14969706133333333,-0.3557824823934426,3.937458540060735,1.1156381548742336
SM,0.533460127,1,4.801141143,9,0.533460127,0.533460127,0.0,0.0
SN,2.5660268529999994,14,45.586631338000004,108,0.18328763235714282,0.42209843831481486,54.19112119540876,32.98477070000751
SO,-11.759174489000001,20,-49.440778009000006,91,-0.5879587244500001,-0.5433052528461539,42.07764018128711,30.11844836362257
SR,-0.939276261,2,-3.9196579199999997,14,-0.4696381305,-0.27997556571428567,19.58469483970742,15.987505991597898
SS,-0.9248187429999999,5,-7.694412187000001,24,-0.18496374859999998,-0.3206005077916667,11.694296465536032,3.351503434620233
ST,1.606299716,1,3.212599432,2,1.606299716,1.606299716,0.0,0.0
SV,1.1893856519999995,13,45.786253668000015,124,0.09149120399999996,0.3692439811935485,18.65961586085937,19.4403660065158
SX,1.868648443,2,15.671733457,15,0.9343242215,1.0447822304666667,5.602487025710302,4.382389851222281
SY,-6.82491359,26,-56.456281946000004,832,-0.26249667653846154,-0.06785610810817308,17.822214954834223,7.34016112123299
SZ,-1.483955094,2,-25.480562867999996,39,-0.741977547,-0.6533477658461537,0.9753320131692204,0.18980820243135382
TC,0.284958834,1,0.284958834,1,0.284958834,0.284958834,0.0,0.0
TD,-2.34717289,3,-2.34717289,3,-0.7823909633333334,-0.7823909633333334,7.692877971609018,7.692877971609018
TG,-0.91883389,4,2.274480144999999,41,-0.2297084725,0.05547512548780486,11.758368533083113,7.140446266619937
TH,-32.504732481000005,135,749.5583292969997,5410,-0.24077579615555558,0.13855052297541584,36.075359502655594,12.402225421066847
TJ,2.892456497999999,13,71.44205552799998,75,0.22249665369230762,0.9525607403733332,39.26854612834326,87.66711763651
TL,-2.271063567,2,-6.709755034,9,-1.1355317835,-0.7455283371111111,25.143505599616507,9.93323678009541
TM,-0.10889873500000002,3,-0.21025795800000002,4,-0.03629957833333334,-0.052564489500000006,47.202810481460254,35.48147206167306
TN,0.09115290900000006,42,190.29485444800002,471,0.0021703073571428585,0.404023045537155,14.775657280359777,13.845618740442335
TO,0.0,0,0.0,0,0.0,0.0,0.0,0.0
TR,-30.671924121999997,315,11328.352464193993,40413,-0.09737118768888887,0.28031456373429325,20.548076605003935,8.106608823302844
TT,-0.45217469200000004,7,-3.744407811,19,-0.06459638457142858,-0.19707409531578945,77.36713416898827,44.88798038042444
TV,0.0,0,0.0,0,0.0,0.0,0.0,0.0
TW,-108.53163552099998,243,3199.1464019200066,23670,-0.4466322449423868,0.13515616400169017,13.92967444841132,11.857118574969814
TZ,-16.360902932,51,-124.814025348,1430,-0.32080201827450977,-0.0872825352083916,32.04606691304875,8.980545932717236
UA,143.712556819,261,7481.512504416002,9320,0.5506228230613027,0.8027373931776827,37.221867936481885,14.26165649628735
UG,-14.298844882000001,59,-476.54887864600005,1775,-0.24235330308474579,-0.26847824149070426,39.11807208692385,7.980296352756083
US,-392.6844781300101,5114,311323.21825720073,559842,-0.07678617092882482,0.5560912154807977,26.379405512986384,11.28058941271051
UY,-0.3742229890000005,20,114.58409448999997,548,-0.018711149450000027,0.20909506293795616,21.21135002604154,8.11869426188953
UZ,-16.534910796000002,61,25.85487288200008,1016,-0.2710641114098361,0.02544770952952764,28.054883659532162,28.30696795194156
VA,-0.00929874,1,-0.00929874,1,-0.00929874,-0.00929874,0.0,0.0
VC,-0.013944295,1,-0.08366577,6,-0.013944295,-0.013944295,0.0,0.0
VE,9.593392629999991,49,1037.4903484949994,1684,0.19578352306122432,0.6160869052820661,27.297749879933942,9.047408067202849
VG,0.0,0,0.0,0,0.0,0.0,0.0,0.0
VI,0.002213648,1,0.08190497599999999,37,0.002213648,0.002213648,0.0,0.0
VN,-54.80776111300002,151,-1190.2454002100008,4618,-0.3629653053841061,-0.2577404504569079,23.45926693520583,8.582570631105726
VU,0.0,0,0.0,0,0.0,0.0,0.0,0.0
WS,-0.942817553,3,-4.116905297000001,9,-0.3142725176666667,-0.457433921888889,13.306615268553486,9.544078627853246
XK,-4.285034316,11,-52.654749456000005,208,-0.38954857418181815,-0.25314783392307694,2.988764591640999,1.5538341252816954
YE,-4.490986993,21,-118.897303474,525,-0.21385652347619047,-0.22647105423619046,14.178823582792006,12.174187746213395
ZA,-20.725620584999994,120,8239.661375958009,22540,-0.17271350487499995,0.36555729263345205,22.32414241425335,6.759570890305321
ZM,-7.856872737,21,-124.353120142,421,-0.37413679699999997,-0.29537558228503563,23.014666107020027,4.821631774226221
ZW,-6.922239756,28,-327.780385682,1510,-0.24722284842857142,-0.21707310310066225,27.594963677303312,5.065477677749017
